id,identifier,type_id,power,pp,accuracy,priority,damage_class_id
1,pound,1,40,35,100,0,2
2,karate-chop,2,50,25,100,0,2
3,double-slap,1,15,10,85,0,2
4,comet-punch,1,18,15,85,0,2
5,mega-punch,1,80,20,85,0,2
6,pay-day,1,40,20,100,0,2
7,fire-punch,10,75,15,100,0,2
8,ice-punch,15,75,15,100,0,2
9,thunder-punch,13,75,15,100,0,2
10,scratch,1,40,35,100,0,2
11,vice-grip,1,55,30,100,0,2
12,guillotine,1,0,5,30,0,2
13,razor-wind,1,80,10,100,0,3
14,swords-dance,1,0,20,100,0,1
15,cut,1,50,30,95,0,2
16,gust,3,40,35,100,0,3
17,wing-attack,3,60,35,100,0,2
18,whirlwind,1,0,20,100,-6,1
19,fly,3,90,15,95,0,2
20,bind,1,15,20,85,0,2
21,slam,1,80,20,75,0,2
22,vine-whip,12,45,25,100,0,2
23,stomp,1,65,20,100,0,2
24,double-kick,2,30,30,100,0,2
25,mega-kick,1,120,5,75,0,2
26,jump-kick,2,100,10,95,0,2
27,rolling-kick,2,60,15,85,0,2
28,sand-attack,5,0,15,100,0,1
29,headbutt,1,70,15,100,0,2
30,horn-attack,1,65,25,100,0,2
31,fury-attack,1,15,20,85,0,2
32,horn-drill,1,0,5,30,0,2
33,tackle,1,40,35,100,0,2
34,body-slam,1,85,15,100,0,2
35,wrap,1,15,20,90,0,2
36,take-down,1,90,20,85,0,2
37,thrash,1,120,10,100,0,2
38,double-edge,1,120,15,100,0,2
39,tail-whip,1,0,30,100,0,1
40,poison-sting,4,15,35,100,0,2
41,twineedle,7,25,20,100,0,2
42,pin-missile,7,25,20,95,0,2
43,leer,1,0,30,100,0,1
44,bite,17,60,25,100,0,2
45,growl,1,0,40,100,0,1
46,roar,1,0,20,100,-6,1
47,sing,1,0,15,55,0,1
48,supersonic,1,0,20,55,0,1
49,sonic-boom,1,0,20,90,0,3
50,disable,1,0,20,100,0,1
51,acid,4,40,30,100,0,3
52,ember,10,40,25,100,0,3
53,flamethrower,10,90,15,100,0,3
54,mist,15,0,30,100,0,1
55,water-gun,11,40,25,100,0,3
56,hydro-pump,11,110,5,80,0,3
57,surf,11,90,15,100,0,3
58,ice-beam,15,90,10,100,0,3
59,blizzard,15,110,5,70,0,3
60,psybeam,14,65,20,100,0,3
61,bubble-beam,11,65,20,100,0,3
62,aurora-beam,15,65,20,100,0,3
63,hyper-beam,1,150,5,90,0,3
64,peck,3,35,35,100,0,2
65,drill-peck,3,80,20,100,0,2
66,submission,2,80,20,80,0,2
67,low-kick,2,0,20,100,0,2
68,counter,2,0,20,100,-5,2
69,seismic-toss,2,0,20,100,0,2
70,strength,1,80,15,100,0,2
71,absorb,12,20,25,100,0,3
72,mega-drain,12,40,15,100,0,3
73,leech-seed,12,0,10,90,0,1
74,growth,1,0,20,100,0,1
75,razor-leaf,12,55,25,95,0,2
76,solar-beam,12,120,10,100,0,3
77,poison-powder,4,0,35,75,0,1
78,stun-spore,12,0,30,75,0,1
79,sleep-powder,12,0,15,75,0,1
80,petal-dance,12,120,10,100,0,3
81,string-shot,7,0,40,95,0,1
82,dragon-rage,16,0,10,100,0,3
83,fire-spin,10,35,15,85,0,3
84,thunder-shock,13,40,30,100,0,3
85,thunderbolt,13,90,15,100,0,3
86,thunder-wave,13,0,20,90,0,1
87,thunder,13,110,10,70,0,3
88,rock-throw,6,50,15,90,0,2
89,earthquake,5,100,10,100,0,2
90,fissure,5,0,5,30,0,2
91,dig,5,80,10,100,0,2
92,toxic,4,0,10,90,0,1
93,confusion,14,50,25,100,0,3
94,psychic,14,90,10,100,0,3
95,hypnosis,14,0,20,60,0,1
96,meditate,14,0,40,100,0,1
97,agility,14,0,30,100,0,1
98,quick-attack,1,40,30,100,1,2
99,rage,1,20,20,100,0,2
100,teleport,14,0,20,100,-6,1
101,night-shade,8,0,15,100,0,3
102,mimic,1,0,10,100,0,1
103,screech,1,0,40,85,0,1
104,double-team,1,0,15,100,0,1
105,recover,1,0,10,100,0,1
106,harden,1,0,30,100,0,1
107,minimize,1,0,10,100,0,1
108,smokescreen,1,0,20,100,0,1
109,confuse-ray,8,0,10,100,0,1
110,withdraw,11,0,40,100,0,1
111,defense-curl,1,0,40,100,0,1
112,barrier,14,0,20,100,0,1
113,light-screen,14,0,30,100,0,1
114,haze,15,0,30,100,0,1
115,reflect,14,0,20,100,0,1
116,focus-energy,1,0,30,100,0,1
